,release_date,movie,production_budget_millions,domestic_gross_millions,worldwide_gross_millions,vote_average,vote_count,start_year,genres,directors_name,movie_profits_millions
0,18-Dec-09,Avatar,425.0,760.507625,2776.345279,7.4,18676,2009,"Action, Sci-Fi",James Cameron,2351.345279
1,20-May-11,Pirates of the Caribbean: On Stranger Tides,410.6,241.063875,1045.663875,6.4,8571,2011,"Action,Adventure,Fantasy",Rob Marshall,635.0638749999999
2,1-May-15,Avengers: Age of Ultron,330.6,459.005868,1403.013963,7.3,13457,2015,"Action,Adventure,Sci-Fi",Joss Whedon,1072.413963
3,17-Nov-17,Justice League,300.0,229.024295,655.945209,6.2,7510,2017,"Action,Adventure,Fantasy",Zack Snyder,355.945209
4,6-Nov-15,Spectre,300.0,200.074175,879.620923,6.4,6719,2015,"Action,Adventure,Thriller",Sam Mendes,579.620923
5,20-Jul-12,The Dark Knight Rises,275.0,448.139099,1084.439099,7.7,13933,2012,"Action,Thriller",Christopher Nolan,809.4390989999999
6,25-May-18,Solo: A Star Wars Story,275.0,213.767512,393.151347,6.6,3838,2018,"Action,Adventure,Fantasy",Ron Howard,118.15134699999999
7,2-Jul-13,The Lone Ranger,275.0,89.302115,260.002115,6.0,3789,2013,"Action,Adventure,Western",Gore Verbinski,-14.997884999999997
8,9-Mar-12,John Carter,275.0,73.058679,282.7781,6.1,3338,2012,"Action,Adventure,Sci-Fi",Andrew Stanton,7.778099999999995
9,25-Mar-16,Batman v Superman: Dawn of Justice,250.0,330.360194,867.500281,5.8,11991,2016,"Action,Adventure,Fantasy",Zack Snyder,617.500281
10,14-Dec-12,The Hobbit: An Unexpected Journey,250.0,303.003568,1017.003568,7.2,12076,2012,"Adventure,Family,Fantasy",Peter Jackson,767.003568
11,13-Dec-13,The Hobbit: The Desolation of Smaug,250.0,258.366855,960.366855,7.6,7739,2013,"Adventure,Fantasy",Peter Jackson,710.366855
12,17-Dec-14,The Hobbit: The Battle of the Five Armies,250.0,255.119788,945.577621,7.3,8392,2014,"Adventure,Fantasy",Peter Jackson,695.577621
13,14-Apr-17,The Fate of the Furious,250.0,225.764765,1234.846267,6.9,6335,2017,"Action,Crime,Thriller",F. Gary Gray,984.8462669999999
14,4-May-12,The Avengers,225.0,623.279547,1517.935897,7.6,19673,2012,"Action,Adventure,Sci-Fi",Joss Whedon,1292.935897
15,14-Jun-13,Man of Steel,225.0,291.045518,667.999518,6.5,9758,2013,"Action,Adventure,Sci-Fi",Zack Snyder,442.99951799999997
16,3-Jul-12,The Amazing Spider-Man,220.0,262.030663,757.890267,6.5,10411,2012,"Action,Adventure,Sci-Fi",Marc Webb,537.890267
17,18-May-12,Battleship,220.0,65.2334,313.477717,5.6,3240,2012,"Action,Adventure,Sci-Fi",Peter Berg,93.47771699999998
